Pollutant,Horizon,Baseline RMSE,Linear Regression RMSE,Random Forest RMSE,XGBoost RMSE,Decision Tree RMSE,SVM RMSE,Neural Network RMSE
CO(GT),1,40.55919383070276,28.79002493812821,29.309188720741613,29.36957741364135,30.42081826584565,28.876149263742256,29.083920453521753
CO(GT),6,41.005325743151495,28.78268109934723,29.220684066925134,29.28228305630136,30.48654106438018,28.860893256527593,28.956274055898067
CO(GT),12,40.65887132156858,28.778015023484993,29.321945213908474,29.39146286761647,30.15423116298598,28.883071194259962,29.07122874905801
CO(GT),24,40.90739539084136,28.77892447084543,29.234634932537674,29.269446561197313,29.800156804335668,28.8904947006773,29.01344300466423
NMHC(GT),1,40.91738514755861,28.952497005836832,29.314663681083232,29.467236289661056,29.527103061767555,29.068529339887945,29.205139627184323
NMHC(GT),6,41.10553607854015,28.967086723860238,29.441422679883427,29.478790081346943,29.9211450115101,29.04534679195258,29.133692045436213
NMHC(GT),12,40.616889881634016,28.93690542067312,29.301807200829998,29.536701438820383,30.249858778109704,29.03299106311936,29.08999046458309
NMHC(GT),24,40.74169491134288,28.95083353281251,29.418124471278713,29.45211508590034,30.23596203416465,29.074475722249122,29.213600592784207
C6H6(GT),1,40.74845067438783,28.89426953410519,29.3409745044814,29.472453038298088,30.068403012784316,28.95815939096946,29.006355735904982
C6H6(GT),6,40.69122675209582,28.895517527306385,29.29360323070277,29.444275414941856,30.838700259489073,28.970970113611788,29.048522541615693
C6H6(GT),12,40.94529043946495,28.874875438052964,29.313756796656975,29.401585203750233,30.242243373510046,28.942169428493486,29.06659553614223
C6H6(GT),24,40.89801757927596,28.879269881087666,29.321259616823067,29.332992927545313,30.054387613944318,28.935213977003595,29.06968465168487
NOx(GT),1,40.545983337052654,28.629996307173737,29.20404602946527,29.348430913818007,30.162385666970145,28.751131023410696,28.861599584410094
NOx(GT),6,40.088462648480395,28.667095571537704,29.141903003058026,29.1909736424794,30.193741516669153,28.74681403918785,28.836846167735626
NOx(GT),12,40.30446696328251,28.649166332285894,29.016303787684755,29.178147961528804,29.920409521586635,28.755600952997934,28.938083791393066
NOx(GT),24,40.40233373568341,28.66604268205421,29.189755490508855,29.271401872855527,31.373856976738146,28.777741654863558,28.853174158325693
NO2(GT),1,40.68352025159137,28.531403217844414,28.993066275604942,29.145617152401883,30.516730588651292,28.649258031211705,28.745890068271148
NO2(GT),6,40.393107134450645,28.527824299190353,28.956562196364054,29.050132868577528,29.55437496867504,28.650541788327086,28.677643141232675
NO2(GT),12,40.03278710577467,28.546798968521244,29.000434950116624,29.140428382621113,29.534332166270985,28.64969906538502,28.76229600837215
NO2(GT),24,40.237720529508174,28.5418578103522,28.944980937512078,29.00775954543454,29.821069015676155,28.6366030910363,28.776295017833352
