Pollutant,Model,MAE,RMSE,R2
C6H6(GT),LinearRegression,3.9918973518721814,4.109843925491932,0.5861859391448678
C6H6(GT),RandomForest,2.0054390463337834,2.5095550911039295,0.8457063502286922
C6H6(GT),XGBoost,0.23348385787364115,0.3033259900092144,0.997745896611934
CO(GT),LinearRegression,0.778509792811043,0.8821646140646215,0.5643443760777327
CO(GT),RandomForest,0.5229901034637877,0.7064741790271098,0.720593409776038
CO(GT),XGBoost,0.3574038515608964,0.5229540406970234,0.8469014404644791
NO2(GT),LinearRegression,15.84777623252572,21.801957817775715,0.814914581074059
NO2(GT),RandomForest,26.833859649122807,36.69275431850521,0.47574589199540573
NO2(GT),XGBoost,21.762477092253857,32.36123581836475,0.5922148441524547
NOx(GT),LinearRegression,60.63024669802151,85.94752031269329,0.831298741673946
NOx(GT),RandomForest,50.613495276653175,73.71423808740153,0.8759049719931304
NOx(GT),XGBoost,52.1340990156619,82.52627527213602,0.8444621441593548
